unitstotal,year built,construction status,number of buildings,occupancy,landuse,bldgdepth,lottype,bsmtcode,lotarea_log,bldgarea_log,numfloors_log,assessland_log,largest property use type - gross floor area (ft²)_log,property gfa - self-reported (ft²)_log,postal code_log,comarea_log,resarea_log,builtfar_log,residfar_log,commfar_log,facilfar_log,site energy use (kbtu)_log
48.0,1940,existing,1.0,100.0,3.0,90.0,3.0,0.0,9.105090961257085,10.479229750968448,1.9459101490553132,12.806284573911311,10.559270295995857,10.559270295995857,9.31533081916712,9.999500033329732e-05,10.479229750968448,1.599387576580599,0.8109302162163288,9.999500033329732e-05,1.0986122886681098,13.513712657677079
38.0,1940,existing,1.0,95.0,2.0,93.0,3.0,0.0,9.139273923542323,10.291501267030537,1.6094379124341003,12.118066228197515,10.291501267030537,10.291501267030537,9.314970621054266,9.999500033329732e-05,10.291501267030537,1.4279160358107101,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,14.982764563138307
125.0,1980,existing,1.0,100.0,3.0,0.0,5.0,5.0,10.33854382482173,11.453716715333547,1.9459101490553132,13.30370779028196,11.50892748368293,11.50892748368293,9.314970621054266,7.9603236291488395,11.422858515378834,1.3987168811184478,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,15.351862870828267
88.0,2020,existing,1.0,95.0,4.0,80.0,3.0,2.0,9.546884034617925,11.434228518021047,2.6390573296152584,14.383094515548875,10.986190624738057,11.434228518021047,9.212936997823448,10.594307026086895,10.86906356408504,2.028148247292285,1.4906543764441333,9.999500033329732e-05,2.0149030205422647,16.25067641813161
68.0,2020,existing,1.0,95.0,4.0,80.0,3.0,2.0,9.72812174830818,11.57591904329801,2.70805020110221,13.94007146078456,11.444121861285282,11.76987509673622,9.212936997823448,10.63303898373978,11.082450193857897,1.9947003132247452,1.4906543764441333,9.999500033329732e-05,2.0149030205422647,16.36562911149188
1.0,2020,existing,1.0,100.0,5.0,99.0,5.0,0.0,9.433563920090563,10.215703688424663,1.0986122886681098,12.323860125621126,10.215703688424663,10.215703688424663,9.32420462812523,10.215703688424663,9.999500033329732e-05,1.1600209167967532,9.999500033329732e-05,0.6931471805599453,1.2237754316221157,13.940292157551632
4.0,1960,existing,1.0,100.0,4.0,50.0,5.0,5.0,7.496097345175956,8.294299608857235,1.6094379124341003,12.27886296424548,11.976722372306442,11.976722372306442,9.211439767419483,6.90875477931522,8.006700845440367,1.169381359556317,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,16.198894558794276
2.0,2020,existing,1.0,100.0,4.0,126.73,3.0,1.0,9.258940041812245,10.513714974009698,1.3862943611198906,12.467093700603389,10.461788190326306,10.513714974009698,9.343033913701648,10.513714974009698,9.999500033329732e-05,1.506297153514587,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,14.1998469519116
36.0,2020,existing,1.0,90.0,3.0,56.0,5.0,2.0,9.639001037687535,10.574491368410383,1.9459101490553132,12.323860125621126,10.574491368410383,10.574491368410383,9.325096609274372,9.999500033329732e-05,10.574491368410383,1.2669476034873244,1.9487632180377197,1.4816045409242156,2.0149030205422647,14.815702267881994
8.0,1920,existing,1.0,100.0,2.0,62.0,5.0,2.0,7.79934339821592,8.757940876678804,1.6094379124341003,9.543306469268108,10.282608685304691,10.455071168774287,9.21054035197885,9.999500033329732e-05,8.757940876678804,1.2837077723447896,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,14.601105917617938
